doc_id,y,x1,x2,Z_bar1,Z_bar2,Z_bar3
1,0,-1.3176988916585146,0.5778603360574036,0.0,0.6799999999999999,0.32
2,1,-1.3176988916585146,0.7920008895632321,0.0,0.32,0.68
3,0,-1.3176988916585146,0.9704701853574617,0.0,0.52,0.48
4,1,-1.3176988916585146,-0.30723352193809556,0.0,0.41000000000000003,0.59
5,0,-1.3176988916585146,-1.5770592940940387,0.0,0.63,0.37
6,0,-1.3176988916585146,-1.0856648016274244,0.0,0.73,0.27
7,1,-1.3176988916585146,-0.6444847016781369,0.0,0.41,0.59
8,0,-1.3176988916585146,-0.09245060478117371,0.0,0.37,0.63
9,0,-1.3176988916585146,-1.7672259736125548,0.0,0.7699999999999999,0.23
10,0,-1.3176988916585146,1.5069765512061393,0.0,0.54,0.45999999999999996
11,1,-1.3176988916585146,-0.5278912579728703,0.0,0.6000000000000001,0.4
12,0,-1.3176988916585146,-0.1151505274077589,0.0,0.53,0.47
13,0,-1.3176988916585146,0.6481159372929528,0.0,0.5399999999999999,0.46
14,0,-1.3176988916585146,1.0739337675190213,0.0,0.52,0.48
15,1,-1.3176988916585146,0.19291673398471199,0.0,0.66,0.33999999999999997
16,1,-1.3176988916585146,-0.8028252865439586,0.0,0.51,0.49
17,1,-1.3176988916585146,0.7185262449102418,0.0,0.62,0.38
18,0,-1.3176988916585146,2.1027687656554224,0.0,0.48000000000000004,0.52
19,0,-1.3176988916585146,-0.40469461591479033,0.0,0.44,0.5599999999999999
20,0,-1.3176988916585146,-0.08860580065698351,0.0,0.41000000000000003,0.59
21,1,-1.3176988916585146,-0.5312063351976519,0.0,0.5700000000000001,0.43
22,0,-1.3176988916585146,-2.0564107702987853,0.0,0.31,0.69
23,0,-1.3176988916585146,-1.931654315493373,0.0,0.37,0.63
24,0,-1.3176988916585146,-0.7068389439340808,0.0,0.47,0.53
25,1,-1.3176988916585146,-1.2965018689498753,0.0,0.26,0.74
26,0,-1.3176988916585146,-0.864795561748064,0.0,0.45,0.55
27,0,-1.3176988916585146,-0.11510007581781792,0.0,0.48,0.52
28,0,-1.3176988916585146,1.2485160081254947,0.0,0.53,0.47000000000000003
