NoText_reg,BTR_noCVEM_K5,BTR_noCVEM_K10,BTR_noCVEM_K20,BTR_noCVEM_K30,BTR_noCVEM_K50
-0.2684785557104118,-0.3638996292710764,-0.7796907667718894,-0.8120872371987659,-0.8033351878529671,-0.7986075345107964
-0.2684785557104118,-0.3610390540035552,-0.7794391534574632,-0.8118538248138355,-0.8032844587812352,-0.7985714875389905
-0.2684785557104118,-0.35483496436833695,-0.7778897884837904,-0.8117947528236468,-0.8031895579795664,-0.798501078186225
-0.2684785557104118,-0.35425445413818485,-0.7777353364356964,-0.8116149543102522,-0.8031829688904996,-0.7984951837376062
-0.2684785557104118,-0.35406805718770684,-0.7775239599321027,-0.8115701193977807,-0.8031727519793745,-0.7983754039452671
-0.2684785557104118,-0.3535931413726165,-0.7774755452988996,-0.811485433190491,-0.8031606468435906,-0.7983432159604593
-0.2684785557104118,-0.35318604264924613,-0.7774572374154882,-0.8114549722723661,-0.8031469073166232,-0.798327613848188
-0.2684785557104118,-0.35281994589357335,-0.7774191470580244,-0.81140430969783,-0.8031175787095398,-0.7982445589497732
-0.2684785557104118,-0.3527654159601762,-0.7773901732854288,-0.8113888633086718,-0.8030774731946362,-0.7982365655549026
-0.2684785557104118,-0.35268825905767387,-0.7771554905098607,-0.811345568827506,-0.8030002528347491,-0.7981819592530597
-0.2684785557104118,-0.35182538155424303,-0.7769683545922612,-0.8113298938918255,-0.8029510149330696,-0.798147770552783
-0.2684785557104118,-0.35132669123054144,-0.7769294127373322,-0.8112361073042933,-0.802923117041354,-0.7981363316475023
-0.2684785557104118,-0.35123338859738984,-0.7768219992325531,-0.8112299292271442,-0.8029137134597895,-0.7981297939070199
-0.2684785557104118,-0.35058260382987705,-0.7767831597478219,-0.8111781481986223,-0.8029117402027691,-0.7981259261988776
-0.2684785557104118,-0.3505293365242148,-0.7767112524819845,-0.8111769773797091,-0.8028984393915276,-0.7981249607761239
-0.2684785557104118,-0.35015475300799803,-0.7766791136720952,-0.8111753768279365,-0.802873325294456,-0.7981030304907604
-0.2684785557104118,-0.35012021918330405,-0.776665973357293,-0.8111686656975529,-0.8028641203402009,-0.7980911608684677
-0.2684785557104118,-0.3500881355961944,-0.7765996810984602,-0.8111593691452249,-0.8028461891740872,-0.7980753055433147
-0.2684785557104118,-0.3499210688201367,-0.7765930379117456,-0.8111432003922047,-0.8028461815480367,-0.7980674003324248
-0.2684785557104118,-0.3497970689416815,-0.7765383961343937,-0.8111363120168195,-0.8028408878206357,-0.7980666506464444
-0.26585802444904433,-0.3497575125462789,-0.7765141481558685,-0.8111084954104393,-0.8028351067484019,-0.7980429979757068
-0.26585802444904433,-0.3495203493768123,-0.7764291286350297,-0.8111025541095188,-0.8028328827054424,-0.798010060653017
-0.26585802444904433,-0.3492547338052564,-0.7763468952911107,-0.8111019390062323,-0.8028193966860918,-0.798004998494865
-0.26585802444904433,-0.34908958142882873,-0.7762900464830038,-0.8110922441865409,-0.8027990280733788,-0.7979939043961161
-0.26585802444904433,-0.3490727257034052,-0.7762882655139628,-0.8110882959522718,-0.8027819517727247,-0.7979762100684209
-0.26585802444904433,-0.3489252732614424,-0.7762550054572593,-0.8110727747233647,-0.8027816725291639,-0.7979740786129995
-0.26585802444904433,-0.3489051932950042,-0.7762281672053193,-0.8110513184443693,-0.8027672118359506,-0.7979576117669059
