BTR_noCVEM_K5,BTR_noCVEM_K10,BTR_noCVEM_K20,BTR_noCVEM_K30,BTR_noCVEM_K50
-0.659904625,-0.903016313,-0.907461595,-0.894715054,-0.880212098
-0.657883456,-0.902808059,-0.907332241,-0.894637848,-0.879615471
-0.657397048,-0.902792259,-0.907325188,-0.894492083,-0.879536927
-0.656137875,-0.902587906,-0.907313056,-0.894474018,-0.879523761
-0.655454572,-0.902554923,-0.90729145,-0.894422131,-0.879508123
-0.654843286,-0.902513926,-0.907236923,-0.894418147,-0.879419876
-0.654617823,-0.902503722,-0.907203977,-0.894398643,-0.879386231
-0.654458056,-0.902465358,-0.907186747,-0.89437424,-0.879362036
-0.654320896,-0.90240356,-0.907186512,-0.894348841,-0.879302784
-0.65413151,-0.902393429,-0.907183217,-0.894214214,-0.879250029
-0.653421725,-0.902345219,-0.907169724,-0.894199661,-0.879193239
-0.653038899,-0.902308036,-0.907132797,-0.894123894,-0.879149697
-0.652625405,-0.902306961,-0.907126059,-0.894099335,-0.879129069
-0.652329073,-0.90228822,-0.907122762,-0.894080822,-0.879128303
-0.652128741,-0.902285882,-0.90711459,-0.894065318,-0.879125983
-0.65188756,-0.902269942,-0.90708974,-0.894047836,-0.879103628
-0.651716838,-0.902255254,-0.907083294,-0.894042654,-0.879091675
-0.651639994,-0.902248015,-0.907055609,-0.893999288,-0.879086685
-0.651620426,-0.902241836,-0.907031781,-0.893991128,-0.879078457
-0.651601049,-0.902226135,-0.907030619,-0.89398545,-0.879077458
-0.651415606,-0.902220118,-0.906997933,-0.893969245,-0.879066522
-0.65125462,-0.902206044,-0.906984818,-0.893953385,-0.879062904
-0.651217375,-0.902201602,-0.906949218,-0.893945637,-0.879038735
-0.65119941,-0.902199522,-0.906940862,-0.89394154,-0.879036331
-0.651058277,-0.902185499,-0.90693356,-0.893921913,-0.879010005
-0.650975008,-0.902164437,-0.906912931,-0.893920845,-0.879006929
-0.650913698,-0.902162421,-0.906904131,-0.89391522,-0.878984087
-0.650848884,-0.902135754,-0.906882183,-0.893908348,-0.878959722
-0.650836878,-0.902132705,-0.906875901,-0.893893035,-0.878952945
-0.65082293,-0.902106988,-0.906869043,-0.893890063,-0.878876445
-0.650655653,-0.902098083,-0.906864693,-0.893885985,-0.878873624
-0.650434954,-0.902097391,-0.906863605,-0.893885547,-0.878860491
